                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3679,                 2.8787,                 1.6098,                0.00428,                0.86243,                0.26911,                0.13463,                 1.0415,                 3.0798,                 1.4276,                0.00014,                0.00014,                0.00014
                      2,                 1.0893,                 2.6179,                 1.3997,                0.00436,                0.87831,                0.45144,                0.25129,                  1.026,                 3.1177,                 1.4657,              0.0002802,              0.0002802,              0.0002802
                      3,                 1.0776,                 2.2775,                 1.3548,                0.00436,                0.87831,                0.60533,                0.37299,                 1.0913,                 3.1125,                 1.4701,             0.00039928,             0.00039928,             0.00039928
                      4,                 1.1229,                 2.0247,                 1.3687,                0.00428,                0.86243,                0.62488,                0.37194,                 1.1221,                 3.0659,                  1.527,             0.00049724,             0.00049724,             0.00049724
                      5,                 1.1401,                 1.7492,                 1.3421,                0.00451,                0.91005,                0.65115,                 0.3872,                 1.2736,                 3.0463,                 1.7344,             0.00057408,             0.00057408,             0.00057408
                      6,                 1.2237,                 2.2414,                 1.5193,                0.00433,                0.87302,                 0.5105,                0.27868,                 1.4752,                 3.0965,                 1.9973,              0.0006298,              0.0006298,              0.0006298
                      7,                  1.153,                 2.1466,                 1.4976,                0.00446,                0.89947,                0.51218,                0.32415,                 1.1995,                 2.9748,                 1.6367,              0.0006644,              0.0006644,              0.0006644
                      8,                 1.1617,                 2.0559,                 1.5133,                0.00454,                0.91534,                0.70859,                0.47216,                 1.1287,                 2.8395,                 1.5187,             0.00067788,             0.00067788,             0.00067788
                      9,                 1.1267,                 1.9647,                 1.4488,                0.96299,                0.27534,                0.67626,                0.43196,                  1.184,                 2.7919,                 1.5539,             0.00067024,             0.00067024,             0.00067024
                     10,                 1.1419,                 1.8827,                 1.4816,                0.00715,                0.84127,                0.69119,                0.46398,                 1.1656,                 2.7533,                 1.4746,             0.00064148,             0.00064148,             0.00064148
                     11,                 1.0816,                  1.854,                 1.3598,                      1,                0.14102,                 0.7763,                  0.501,                 1.1103,                 2.6492,                 1.4222,              0.0005916,              0.0005916,              0.0005916
                     12,                  1.077,                 1.7932,                 1.3906,                      1,                 0.3615,                 0.7892,                0.54298,                 1.0888,                 2.5386,                 1.3807,              0.0005206,              0.0005206,              0.0005206
                     13,                 1.0957,                  1.738,                 1.3698,                      1,                0.50298,                0.83504,                0.61526,                0.97836,                 2.3525,                 1.2837,               0.000416,               0.000416,               0.000416
                     14,                 1.0309,                 1.6325,                 1.3211,                0.99158,                0.62336,                0.84499,                0.63743,                0.98701,                 2.2165,                 1.2873,               0.000284,               0.000284,               0.000284
                     15,                 0.9741,                 1.5769,                 1.2958,                0.97256,                0.74999,                0.84755,                0.65286,                0.95848,                 2.0869,                 1.2464,               0.000152,               0.000152,               0.000152
