epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.7759,2.26502,2.17041,1.94168,0.71497,0.77204,0.81991,0.48141,1.4719,1.44364,1.43511,0.0004,0.0004,0.0004
2,15.3842,1.44188,0.9196,1.35023,0.92274,0.92097,0.97783,0.64331,1.2056,0.75314,1.22678,0.000803764,0.000803764,0.000803764
3,22.5496,1.32044,0.77066,1.25633,0.91811,0.92007,0.97372,0.6506,1.17174,1.06424,1.25291,0.0011909,0.0011909,0.0011909
4,30.2965,1.26496,0.73818,1.22846,0.98899,0.96049,0.98713,0.67708,1.11173,0.55472,1.2054,0.0015614,0.0015614,0.0015614
5,37.9226,1.30299,0.7232,1.25958,0.97208,0.95229,0.98968,0.65684,1.16598,0.61687,1.24738,0.0018416,0.0018416,0.0018416
6,46.442,1.25146,0.71858,1.23908,0.96029,0.98176,0.9901,0.67023,1.1857,0.56152,1.26984,0.001802,0.001802,0.001802
7,57.3981,1.2403,0.68758,1.22615,0.93936,0.94165,0.98266,0.67259,1.18429,0.62123,1.27939,0.0017624,0.0017624,0.0017624
8,65.7556,1.17106,0.66826,1.18422,0.97789,0.98176,0.99283,0.70228,1.06226,0.52145,1.19861,0.0017228,0.0017228,0.0017228
9,72.5001,1.14033,0.62558,1.19879,0.96731,0.98947,0.99288,0.70471,1.08623,0.57457,1.20217,0.0016832,0.0016832,0.0016832
10,79.1752,1.15345,0.62642,1.19486,0.99384,0.98099,0.99476,0.71442,1.03253,0.48171,1.17673,0.0016436,0.0016436,0.0016436
11,86.0304,1.15805,0.63096,1.18887,0.98737,0.99088,0.99476,0.72041,1.03783,0.48573,1.16319,0.001604,0.001604,0.001604
12,92.791,1.14765,0.59786,1.17911,0.99307,0.98784,0.99421,0.72426,1.04482,0.48007,1.1809,0.0015644,0.0015644,0.0015644
13,100.681,1.16667,0.59311,1.17828,0.98787,0.99007,0.99485,0.7177,1.04972,0.47763,1.18115,0.0015248,0.0015248,0.0015248
14,107.454,1.11977,0.59796,1.15491,0.99388,0.98659,0.99472,0.73577,1.01496,0.45093,1.15893,0.0014852,0.0014852,0.0014852
15,114.233,1.12633,0.57528,1.17062,0.99392,0.99381,0.99488,0.73282,1.02137,0.44761,1.15722,0.0014456,0.0014456,0.0014456
16,121.053,1.07584,0.57339,1.15111,0.9934,0.99392,0.995,0.73805,1.01407,0.44721,1.15103,0.001406,0.001406,0.001406
17,128.044,1.11163,0.59549,1.17195,0.9928,0.99088,0.99482,0.7378,1.03458,0.44704,1.17387,0.0013664,0.0013664,0.0013664
18,136.534,1.14096,0.56847,1.18135,0.99895,0.98784,0.99491,0.71627,1.05149,0.45857,1.18683,0.0013268,0.0013268,0.0013268
19,145.113,1.12984,0.57505,1.16982,0.98991,0.99088,0.99494,0.72813,1.00522,0.46191,1.16057,0.0012872,0.0012872,0.0012872
20,152.044,1.06796,0.54752,1.14083,0.99269,0.99088,0.995,0.72223,1.00793,0.44325,1.17879,0.0012476,0.0012476,0.0012476
21,160.422,1.0779,0.55447,1.15453,0.99241,0.98784,0.99491,0.73299,0.97905,0.42473,1.16342,0.001208,0.001208,0.001208
22,169.084,1.05504,0.53824,1.12148,0.99198,0.98784,0.99403,0.73723,0.99249,0.42167,1.16432,0.0011684,0.0011684,0.0011684
23,176.458,1.10123,0.55167,1.17683,0.99696,0.99631,0.99497,0.74388,0.9645,0.42963,1.13091,0.0011288,0.0011288,0.0011288
24,183.874,1.06475,0.55053,1.13752,0.99696,0.9963,0.995,0.73946,0.99804,0.42045,1.1507,0.0010892,0.0010892,0.0010892
25,192.622,1.07193,0.55264,1.15191,0.99425,0.99088,0.99497,0.73295,0.99424,0.43165,1.13692,0.0010496,0.0010496,0.0010496
26,199.716,1.06472,0.5369,1.12134,0.99974,0.99696,0.995,0.74306,0.9528,0.41816,1.11174,0.00101,0.00101,0.00101
27,206.807,1.04182,0.50816,1.12176,0.99018,0.99696,0.99405,0.7449,0.95389,0.41045,1.11581,0.0009704,0.0009704,0.0009704
