epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33256,1.18935,2.93762,1.58318,0.00781,0.96914,0.71539,0.49878,0.76617,2.90791,1.49406,0.00013336,0.00013336,0.00013336
2,8.60083,1.02852,1.99434,1.4266,1,0.05153,0.78708,0.54006,0.89816,2.46505,1.56336,0.000277779,0.000277779,0.000277779
3,12.0756,0.99074,1.43266,1.38551,0.85301,0.24074,0.75335,0.4899,1.05611,2.34452,1.66053,0.000416257,0.000416257,0.000416257
4,15.821,1.07768,1.38118,1.42031,0.88571,0.7654,0.85861,0.58572,1.06793,1.83412,1.74827,0.000548793,0.000548793,0.000548793
5,19.8398,1.07597,1.44406,1.40589,0.89919,0.75309,0.82823,0.5446,1.00828,1.5602,1.81744,0.000675388,0.000675388,0.000675388
6,22.8292,1.03405,1.38628,1.42155,0.74834,0.73422,0.73478,0.40378,1.26641,1.74753,2.10385,0.000796043,0.000796043,0.000796043
7,25.9552,1.01278,1.28919,1.37996,0.79433,0.69135,0.73049,0.4752,1.09909,2.07673,1.91383,0.000910755,0.000910755,0.000910755
8,31.2759,0.99565,1.3281,1.36023,0.85541,0.75926,0.86958,0.53345,1.1762,1.41424,1.90297,0.00101953,0.00101953,0.00101953
9,35.2532,1.0209,1.18598,1.39478,0.89025,0.77778,0.87795,0.61553,1.11593,1.45907,1.71121,0.00112236,0.00112236,0.00112236
10,39.8555,1.13935,1.22469,1.51621,0.75607,0.54321,0.71498,0.42591,1.34583,2.34961,2.30383,0.00121925,0.00121925,0.00121925
11,42.965,1.01321,1.2746,1.4224,0.82143,0.6815,0.78662,0.48831,1.36865,1.77287,2.34732,0.0013102,0.0013102,0.0013102
12,46.0055,1.07489,1.20525,1.39892,0.71242,0.66667,0.61773,0.35701,1.14292,1.84225,1.82806,0.00130393,0.00130393,0.00130393
13,49.0682,1.01334,1.04602,1.32284,0.71421,0.77132,0.75668,0.44302,1.13302,1.70883,1.93037,0.00127092,0.00127092,0.00127092
14,52.0694,0.96676,1.00828,1.35066,0.5789,0.6704,0.57846,0.29907,1.28234,2.1869,2.08473,0.00123791,0.00123791,0.00123791
15,55.1948,0.97413,0.9724,1.35675,0.77402,0.78232,0.84107,0.61164,0.84795,1.4994,1.46608,0.00120491,0.00120491,0.00120491
16,58.5039,0.94298,0.93199,1.2954,0.92614,0.83333,0.93969,0.71121,0.85319,1.07668,1.5022,0.0011719,0.0011719,0.0011719
17,61.6943,0.89485,0.92708,1.26707,0.92867,0.80368,0.91494,0.70488,0.82525,1.11942,1.37042,0.00113889,0.00113889,0.00113889
18,64.9668,0.99441,0.97591,1.43218,0.90516,0.70698,0.84902,0.64424,0.85042,1.23688,1.40869,0.00110589,0.00110589,0.00110589
19,68.0459,0.88881,0.89357,1.26733,0.9387,0.75625,0.90642,0.69472,0.81381,1.06967,1.37412,0.00107288,0.00107288,0.00107288
20,70.9539,0.85158,0.83286,1.2295,0.83288,0.81481,0.90646,0.66708,0.93568,1.06443,1.48431,0.00103987,0.00103987,0.00103987
21,74.8247,0.91402,0.85007,1.27383,0.87505,0.91975,0.94957,0.75488,0.80637,0.92768,1.34621,0.00100687,0.00100687,0.00100687
22,77.7307,0.92853,0.83578,1.2786,0.93015,0.92593,0.95374,0.59346,1.18591,1.01568,1.87598,0.000973861,0.000973861,0.000973861
23,80.6591,0.86362,0.87321,1.29184,0.91639,0.9321,0.9641,0.69835,1.00327,0.92295,1.56821,0.000940855,0.000940855,0.000940855
24,83.5846,0.88592,0.87505,1.2649,0.92259,0.89506,0.95729,0.71766,0.86022,0.83661,1.34226,0.000907848,0.000907848,0.000907848
